Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Tegong For Everybodihhh,5,1,Tourist attraction,49PW+322,Bantul,Tegong For Everybodihhh Tourist attraction Bantul ,-7.8648746,110.3950182
TAMAN SRUWUH,4.5,2,Tourist attraction,397W+57C,Bantul,TAMAN SRUWUH Tourist attraction Bantul ,-7.9370519,110.395635
Tembi Homestay,4.6,545,Homestay,"Jl. Parangtritis Jl. Tembi No.KM, RW.6",Bantul,Tembi Homestay Homestay Bantul ,-7.8725935,110.3546799
Wisata Alam Bukit Rembulan,3,1,Tourist attraction,"3CX7+XH6, Karangasem, RT.03",Bantul,Wisata Alam Bukit Rembulan Tourist attraction Bantul ,-7.9000972,110.4138879
LEMBAH WOLULAS,4.5,21,Tourist attraction,"Yogyakarta City, Special Region of Yogyakarta",Bantul,LEMBAH WOLULAS Tourist attraction Bantul ,-7.8303282,110.3936026
Wisata ikan grojogan,4,3,Tourist attraction,594W+73X,Bantul,Wisata ikan grojogan Tourist attraction Bantul ,-7.8442676,110.3952327
Omah Pinggir Opak,5,2,Tourist attraction,39C7+GPC,Bantul,Omah Pinggir Opak Tourist attraction Bantul ,-7.9286781,110.3642676
Desa Wisata Nglinggo,4.4,630,Tourist attraction,"Kulon Progo Regency, Special Region of Yogyakarta",Bantul,Desa Wisata Nglinggo Tourist attraction Bantul ,-7.647668,110.141878
Wisata Bantul Jogja,4.5,95,Amusement park ride,"Bantul Regency, Special Region of Yogyakarta",Bantul,Wisata Bantul Jogja Amusement park ride Bantul ,-7.9569615,110.3595696
Tanjung Tourism Village,4.3,251,Tourist attraction,"Sleman Regency, Special Region of Yogyakarta",Bantul,Tanjung Tourism Village Tourist attraction Bantul ,-7.8748176,110.3255365
View Pemandangan Sawah Kweden,5,1,Tourist attraction,"38VP+6F9, Jl. Tulip",Bantul,View Pemandangan Sawah Kweden Tourist attraction Bantul ,-7.9069677,110.3362382
Paseban Park,4.5,1400,Playground,Jl. Jend. Sudirman No.170,Bantul,Paseban Park Playground Bantul ,-7.8883012,110.3279401
Bukit Kedungpring,4.6,5,Tourist attraction,4C9F+3F6,Bantul,Bukit Kedungpring Tourist attraction Bantul ,-7.8823313,110.4236269
Homestay Omah Lila Tembi Managed by The Grand Java,4.8,197,Homestay,"Km.8,5, Timbulharjo, 55186, Jl. Parangtritis",Bantul,Homestay Omah Lila Tembi Managed by The Grand Java Homestay Bantul ,-7.8741005,110.3535766
Omah Tembi Homestay,4.5,319,Homestay,"Jl. Parangtritis Km.8,5. DesaTembi",Bantul,Omah Tembi Homestay Homestay Bantul ,-7.8727469,110.3545694
Tebing beraksi,5,2,Tourist attraction,4CFG+RFW,Bantul,Tebing beraksi Tourist attraction Bantul ,-7.7815714,110.5045827
Gazebo Bukit Watu Pengklik Sriharjo,4.8,4,Tourist attraction,3C3G+JXX,Bantul,Gazebo Bukit Watu Pengklik Sriharjo Tourist attraction Bantul ,-7.9458817,110.4274973
Watu Masjid,4.4,5,Tourist attraction,"2CWF+VP4, Jl. Jemb. Gantung",Bantul,Watu Masjid Tourist attraction Bantul ,-7.9528651,110.4243219
Taman FSMR,4.5,14,Park,"49W3+WJ3 · In the Indonesian Institute of the Arts, Yogyakarta",Bantul,Taman FSMR Park Bantul ,-7.8527457,110.3540343
WISATA TRAIL PARANGTRITIS,4.4,9,Tourist attraction,X8GG+JRR,Bantul,WISATA TRAIL PARANGTRITIS Tourist attraction Bantul ,-8.0233888,110.3270089
XT Square,4.4,15110,Business center,"Yogyakarta City, Special Region of Yogyakarta",Bantul,XT Square Business center Bantul ,-7.8167055,110.3862889
Jembatan baru Jetis,4.8,8,Tourist attraction,"Jetis, RT.04",Bantul,Jembatan baru Jetis Tourist attraction Bantul ,-7.9458548,110.4263825
Wisata Lemah Rubuh Siluk Selopamioro,4.4,41,Cafe,3C37+H52,Bantul,Wisata Lemah Rubuh Siluk Selopamioro Cafe Bantul ,-7.9461134,110.4128881
Jogokariyan Mosque,4.8,15609,Tourist attraction,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Jogokariyan Mosque Tourist attraction Bantul ,-7.8242608,110.3644095
Desa Wisata Srunggo ll,5,1,Tourist attraction,29HJ+7GP,Bantul,Desa Wisata Srunggo ll Tourist attraction Bantul ,-7.971779,110.3813382
Yotrans,5,14,Corporate office,Jl. Pondok Raya no.104b Jejeran 2 Rt.003,Bantul,Yotrans Corporate office Bantul ,-7.8569357,110.3155216
Huni Homestay Tembi,4.8,28,Homestay,"Desa Wisata Tembi RT 2 . Degan, Timbulharjo, Sewon Next to Griya Tembi , end of the road",Bantul,Huni Homestay Tembi Homestay Bantul ,-7.8752015,110.354374
Taman Bank Indonesia Bantul Projo Tamansari,4.3,166,Memorial park,"484Q+M98, Jl. Dr. Wahidin Sudiro Husodo",Bantul,Taman Bank Indonesia Bantul Projo Tamansari Memorial park Bantul ,-7.89334,110.338451
Soedirman Park,4.9,15,Park,48CM+48V,Bantul,Soedirman Park Park Bantul ,-7.8796397,110.3332911
"Kedai Gerabah ""Putra Dua""",,,No reviews,"49GC+P6H, Jl. Sultan Agung",Bantul,"Kedai Gerabah ""Putra Dua"" No reviews Bantul ",-7.8731977,110.3706179
Waroe Doyong Omah Bakmie & Pocinan,4.8,96,Noodle Shop,"Jl. Parangtritis No.138, Cabean RT 04",Bantul,Waroe Doyong Omah Bakmie & Pocinan Noodle Shop Bantul ,-7.858553,110.3562119
Masjid AT TAQWA Gandok,4.7,79,Mosque,"49RF+MVR, Jl. Imogiri Barat",Bantul,Masjid AT TAQWA Gandok Mosque Bantul ,-7.8582624,110.3746387
Dinas Pariwisata Kabupaten Bantul,4.4,21,City district office,"38WX+3GJ, Jl. Lingkar Timur, Bantul, Manding",Bantul,Dinas Pariwisata Kabupaten Bantul City district office Bantul ,-7.9047855,110.3487639
Kedung Trobongso,5,3,Tourist attraction,Jalan Jembatan Gantung No.km7,Bantul,Kedung Trobongso Tourist attraction Bantul ,-7.9491973,110.4264835
LINE TOUR & TRAVEL,4.7,23,Tour agency,"Bantul Regency, Special Region of Yogyakarta",Bantul,LINE TOUR & TRAVEL Tour agency Bantul ,-7.883153,110.3489168
Ulam Fajar Pemancingan & Lesehane,4.3,152,Recreation center,49Q4+39W,Bantul,Ulam Fajar Pemancingan & Lesehane Recreation center Bantul ,-7.8622569,110.35594
Taman Keben Miring,,,Garden,"Fakultas Seni Rupa ISI Yogyakarta, Jl. Parangtritis · In the Faculty of Fine Arts ISI",Bantul,Taman Keben Miring Garden Bantul ,-7.8506271,110.356395
Pasar Seni Gabusan,4.7,230,Shopping mall,49C2+WP3,Bantul,Pasar Seni Gabusan Shopping mall Bantul ,-7.8767695,110.3499729
dOmah Hotel Yogya,4.5,912,Hotel,Jl. Tembi Jl. Parangtritis,Bantul,dOmah Hotel Yogya Hotel Bantul ,-7.8714719,110.3534948
Tembi,,,"Bantul Regency, Special Region of Yogyakarta",,Bantul,"Tembi Bantul Regency, Special Region of Yogyakarta Bantul ",-7.8692953,110.355457
LOPEPARK,5,1,Tourist attraction,Kralas,Bantul,LOPEPARK Tourist attraction Bantul ,-7.9177762,110.3656755
