Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Pengadilan Agama Bantul,4.7,253,City courthouse,Jl. Urip Sumoharjo No.8,Bantul,Pengadilan Agama Bantul City courthouse Bantul ,-7.8916135,110.329345
Department of Environment of the Bantul,4.3,98,City district office,"38VX+X24, Komplek Kantor Pemda Bantul, Jl. Lkr. Timur Jl. Manding Kidul",Bantul,Department of Environment of the Bantul City district office Bantul ,-7.9051107,110.3475779
BPJS Kesehatan Bantul,3.2,348,Social security office,Jl. Dr. Wahidin Sudiro Husodo No.54,Bantul,BPJS Kesehatan Bantul Social security office Bantul ,-7.8934988,110.3392291
IPAL KOMUNAL JARANAN SEHAT,5,1,Sewage treatment plant,584X+RGJ,Bantul,IPAL KOMUNAL JARANAN SEHAT Sewage treatment plant Bantul ,-7.8429137,110.3487559
Tirta Sari,,,Water treatment plant,"5944+7F6, Jl. KH. Ali Maksum",Bantul,Tirta Sari Water treatment plant Bantul ,-7.8748176,110.3255365
Kantor Desa Tirtonirmolo,4.3,13,Government office,58CW+C5R,Bantul,Kantor Desa Tirtonirmolo Government office Bantul ,-7.828896,110.3453842
Koramil 0729/07 Pleret,,,Army facility,4CM3+JW3,Bantul,Koramil 0729/07 Pleret Army facility Bantul ,-7.8659875,110.4047969
Bendung Blawong,4.6,19,Water treatment plant,49CV+F3W,Bantul,Bendung Blawong Water treatment plant Bantul ,-7.8787628,110.3926896
Ishiro 2,,,Water treatment plant,Jl. Pleret,Bantul,Ishiro 2 Water treatment plant Bantul ,-7.8617959,110.408745
Kantor Kemantren Mergangsan,4.1,17,District government office,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Kantor Kemantren Mergangsan District government office Bantul ,-7.817782,110.3734447
Koramil 0729/10 Imogiri,,,Army facility,"39JJ+9JQ, Minggiran, Jalan Imogiri Timur, Imogiri",Bantul,Koramil 0729/10 Imogiri Army facility Bantul ,-7.9190254,110.3816108
Polsek Jetis,4.1,16,Police station,Jl. Imogiri Barat No.Km 11,Bantul,Polsek Jetis Police station Bantul ,-7.8897912,110.3738804
Kantor Kelurahan Wirobrajan,4,21,Government office,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Kantor Kelurahan Wirobrajan Government office Bantul ,-7.8047734,110.3533858
Bantul 1 Public Medical Center,3.1,85,Public medical center,"Jl. KH. Wahid Hasim No. 208, Palbapang, Bantul",Bantul,Bantul 1 Public Medical Center Public medical center Bantul ,-7.9034585,110.321736
Koramil 0729/01 Bantul,,,Army facility,38WC+WP4,Bantul,Koramil 0729/01 Bantul Army facility Bantul ,-7.9027256,110.3218164
DPU Kab Bantul,3.1,43,Public works department,"38V8+VJX, Jl. Panembahan Senopati",Bantul,DPU Kab Bantul Public works department Bantul ,-7.9052674,110.3166135
Paris Tirta,5,1,Water treatment plant,"Jl. Parangtritis km. 3,5 No. 198",Bantul,Paris Tirta Water treatment plant Bantul ,-7.8282161,110.3672463
Office of the Mayor of Yogyakarta,4.6,520,City clerk's office,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Office of the Mayor of Yogyakarta City clerk's office Bantul ,-7.7955798,110.3694896
Dam Cepoko,,,Water treatment plant,"38PW+WRX, Jl. Cepoko Raya",Bantul,Dam Cepoko Water treatment plant Bantul ,-7.9126471,110.3470964
Puskesmas Jetis I,3.8,48,Public medical center,"Jalan Imogiri Barat KM. 12,5, Denokan, Trimulyo, Jetis",Bantul,Puskesmas Jetis I Public medical center Bantul ,-7.8979014,110.3751182
Depot Air Minum Isi Ulang Arqa Tirta,5,2,Water treatment plant,Jl. Imogiri Barat No.6,Bantul,Depot Air Minum Isi Ulang Arqa Tirta Water treatment plant Bantul ,-7.8449123,110.3746041
Puskesmas Imogiri I,4,81,Public medical center,"Bantul Regency, Special Region of Yogyakarta",Bantul,Puskesmas Imogiri I Public medical center Bantul ,-7.9198361,110.380306
Splazz Fresh Hygiene Water,5,2,Water treatment plant,"5954+MMJ, Jalan KH. Ali Maksum, Panggungharjo, Sewon",Bantul,Splazz Fresh Hygiene Water Water treatment plant Bantul ,-7.840787,110.356637
Fresh Water,,,Water treatment plant,"km7 garjoyo, Jl. Bakulan Imogiri",Bantul,Fresh Water Water treatment plant Bantul ,-7.8748176,110.3255365
Kantor Pelayanan Pajak Pratama - Bantul,4,220,City tax office,"Gose, Jl. Urip Sumoharjo No.7",Bantul,Kantor Pelayanan Pajak Pratama - Bantul City tax office Bantul ,-7.8915365,110.3269966
IPAL KOMUNAL KSM MONDHO MAJU,,,Sewage treatment plant,Jl. Bawuran No.1,Bantul,IPAL KOMUNAL KSM MONDHO MAJU Sewage treatment plant Bantul ,-7.8720669,110.4148427
Fresh Water,5,1,Water treatment plant,"49XF+PPX, Jl. Imogiri Barat",Bantul,Fresh Water Water treatment plant Bantul ,-7.8748176,110.3255365
Dusun Kembaran,5,1,Water treatment plant,"58CM+7PP, Jl. Bibis Raya",Bantul,Dusun Kembaran Water treatment plant Bantul ,-7.829291,110.33433
NATAUMAH YOGYAKARTA,5,4,Housing authority,"Yogyakarta City, Special Region of Yogyakarta",Bantul,NATAUMAH YOGYAKARTA Housing authority Bantul ,-7.8252882,110.3516605
Rental Mobil Jams Transport,4.7,28,Car rental agency,"Perumahan Griya Tirtanirmala Asri, D9 In Perumahan Griya Tirtanirmala Asri",Bantul,Rental Mobil Jams Transport Car rental agency Bantul ,-7.814223,110.3414914
Hemi Juragan Koi,,,Sewage treatment plant,48R7+J94,Bantul,Hemi Juragan Koi Sewage treatment plant Bantul ,-7.8584817,110.313463
Perum Puri Ismail,3.8,9,Housing authority,5C32+54X,Bantul,Perum Puri Ismail Housing authority Bantul ,-7.8470113,110.4003587
Filter Air Jogjakarta,4.7,23,Corporate office,Brajan jalan,Bantul,Filter Air Jogjakarta Corporate office Bantul ,-7.8733398,110.3896446
Cendrawasih Sukses Niaga,,,Water treatment plant,"4942+6XM, Manding DK, RT.12",Bantul,Cendrawasih Sukses Niaga Water treatment plant Bantul ,-7.8944018,110.3524156
Royyun,5,3,Water treatment plant,"5924+M8R, Jl. KH. Ali Maksum",Bantul,Royyun Water treatment plant Bantul ,-7.906413,110.339647
Balai Diklat Industri Yogyakarta,4.3,44,Regional government office,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Balai Diklat Industri Yogyakarta Regional government office Bantul ,-7.8164012,110.401864
Perumahan Bhumi Serasi Karangjati,4.9,14,Housing authority,"588F+G58, Jl. Sungapan",Bantul,Perumahan Bhumi Serasi Karangjati Housing authority Bantul ,-7.8337045,110.3229452
